target_gene	organism	mirna	Total context++ score
SEC14L1	human	mir769	-0.133
C1orf112	human	mir769	-0.319
DIABLO	human	mir769	-0.123
DGCR6	human	mir769	-0.2
LIPC	human	mir769	-0.12
CR769776.1	human	mir769	-0.16
WDR26	human	mir769	-0.201
ZNF557	human	mir769	-0.058
SHANK3	human	mir769	-0.054
SS18	human	mir769	-0.152
DNAH3	human	mir769	-0.101
CABYR	human	mir769	-0.239
HTR3E	human	mir769	-0.141
GPI	human	mir769	-0.01
USP4	human	mir769	-0.127
ZNF740	human	mir769	-0.155
FAM27D1	human	mir769	-0.491
CTXN2	human	mir769	-0.329
MPPED1	human	mir769	-0.155
NBPF16	human	mir769	-0.162
TCEB3	human	mir769	-0.197
TP63	human	mir769	-0.32
SP8	human	mir769	-0.089
CYP21A2	human	mir769	-0.208
APOC4	human	mir769	-0.132
MTERF	human	mir769	-0.204
FOXA2	human	mir769	-0.173
SMYD1	human	mir769	-0.01
ARL8B	human	mir769	-0.378
STK3	human	mir769	-0.293
CRTC3	human	mir769	-0.198
ATF7	human	mir769	-0.067
PAX7	human	mir769	-0.02
ARRB1	human	mir769	-0.012
WHSC1	human	mir769	-0.02
PERP	human	mir769	-0.108
ANKRD34C	human	mir769	-0.069
ATG2A	human	mir769	-0.01
CASK	human	mir769	-0.072
MRVI1	human	mir769	-0.048
CMSS1	human	mir769	-0.116
TBCEL	human	mir769	-0.1
MCMDC2	human	mir769	-0.077
SLC25A12	human	mir769	-0.133
IL1RAP	human	mir769	-0.052
RNASEH2B	human	mir769	-0.132
GLG1	human	mir769	-0.079
ITK	human	mir769	-0.17
PPP2R5C	human	mir769	-0.049
POMT1	human	mir769	-0.159
THSD7A	human	mir769	-0.01
PIN4	human	mir769	-0.117
ZNF736	human	mir769	-0.013
IL10	human	mir769	-0.218
C7orf49	human	mir769	-0.11
IL9R	human	mir769	-0.013
CEP78	human	mir769	-0.093
GPBP1	human	mir769	-0.01
NAA38	human	mir769	-0.089
LRP12	human	mir769	-0.334
NR2C2	human	mir769	-0.025
FUT2	human	mir769	-0.062
TNPO2	human	mir769	-0.101
MYOCD	human	mir769	-0.056
SCAMP5	human	mir769	-0.155
RARA	human	mir769	-0.01
C3orf18	human	mir769	-0.062
FN1	human	mir769	-0.041
ZNF234	human	mir769	-0.04
ERCC8	human	mir769	-0.173
XG	human	mir769	-0.102
TRPC4	human	mir769	-0.074
SLC35B3	human	mir769	-0.104
FTSJ3	human	mir769	-0.195
GOLGA6L6	human	mir769	-0.094
PHACTR2	human	mir769	-0.02
SLC30A8	human	mir769	-0.14
FBXO21	human	mir769	-0.17
HIST2H2BF	human	mir769	-0.292
MXD3	human	mir769	-0.238
ATXN1L	human	mir769	-0.02
ABLIM2	human	mir769	-0.106
PLCL1	human	mir769	-0.189
HES4	human	mir769	-0.121
MRO	human	mir769	-0.039
CERS1	human	mir769	-0.033
ABCF3	human	mir769	-0.01
SYNPO2	human	mir769	-0.03
SLC37A3	human	mir769	-0.32
ZBTB10	human	mir769	-0.119
PTPRE	human	mir769	-0.229
CNTNAP5	human	mir769	-0.03
PSMD13	human	mir769	-0.145
RIMKLA	human	mir769	-0.01
EHBP1	human	mir769	-0.05
ZNHIT6	human	mir769	-0.078
EBNA1BP2	human	mir769	-0.068
KANSL3	human	mir769	-0.097
AKIRIN1	human	mir769	-0.254
TIA1	human	mir769	-0.133
VIPR1	human	mir769	-0.085
HSBP1	human	mir769	-0.122
MGLL	human	mir769	-0.039
ZNF780B	human	mir769	-0.037
MAP4	human	mir769	-0.063
MAP6	human	mir769	-0.045
FAM3A	human	mir769	-0.196
GSPT1	human	mir769	-0.02
CCDC158	human	mir769	-0.199
UBE2J1	human	mir769	-0.112
MLF2	human	mir769	-0.073
AC105020.1	human	mir769	-0.107
SGCD	human	mir769	-0.038
ZNF814	human	mir769	-0.01
PLEKHF1	human	mir769	-0.059
MFAP3	human	mir769	-0.055
GATS	human	mir769	-0.046
VPS53	human	mir769	-0.01
WDR81	human	mir769	-0.111
GALNT15	human	mir769	-0.03
GON4L	human	mir769	-0.02
PDLIM5	human	mir769	-0.154
CD109	human	mir769	-0.048
DIO2	human	mir769	-0.222
CCDC36	human	mir769	-0.193
SLC12A3	human	mir769	-0.098
ACOXL	human	mir769	-0.146
PHF20	human	mir769	-0.191
CDC42SE1	human	mir769	-0.159
UNC80	human	mir769	-0.033
IKZF1	human	mir769	-0.024
LPAR3	human	mir769	-0.283
GPSM1	human	mir769	-0.035
PDK3	human	mir769	-0.01
MICAL3	human	mir769	-0.039
MRGPRF	human	mir769	-0.02
SHISA6	human	mir769	-0.01
TBC1D9	human	mir769	-0.177
FEZF1	human	mir769	-0.136
NRBP2	human	mir769	-0.061
NBPF15	human	mir769	-0.162
UBA52	human	mir769	-0.18
TMPRSS6	human	mir769	-0.44
C6orf10	human	mir769	-0.935
CISH	human	mir769	-0.132
CCDC113	human	mir769	-0.061
ERVMER34	human	mir769	-0.067
GDPD5	human	mir769	-0.104
CTAG1A	human	mir769	-0.148
CTDSPL	human	mir769	-0.084
AP1S3	human	mir769	-0.164
CEP72	human	mir769	-0.035
MCFD2	human	mir769	-0.25
CLYBL	human	mir769	-0.092
RNF224	human	mir769	-0.153
PATE3	human	mir769	-0.216
JMJD6	human	mir769	-0.153
IFLTD1	human	mir769	-0.041
MAPKAPK3	human	mir769	-0.227
DCAF11	human	mir769	-0.145
SIGLEC11	human	mir769	-0.1
PACS2	human	mir769	-0.02
TECPR1	human	mir769	-0.01
DCTN3	human	mir769	-0.028
DCTN4	human	mir769	-0.112
PPARD	human	mir769	-0.02
TATDN2	human	mir769	-0.089
AL645730.2	human	mir769	-0.288
TBC1D14	human	mir769	-0.02
CHTF8	human	mir769	-0.046
LPP	human	mir769	-0.225
CLMP	human	mir769	-0.06
BIVM	human	mir769	-0.294
C17orf105	human	mir769	-0.101
MICA	human	mir769	-0.061
ANKS3	human	mir769	-0.13
GNG4	human	mir769	-0.068
KIAA1324L	human	mir769	-0.13
CPEB1	human	mir769	-0.251
ATCAY	human	mir769	-0.01
BPI	human	mir769	-0.199
POTEI	human	mir769	-0.03
ASB15	human	mir769	-0.272
CPSF4	human	mir769	-0.227
C21orf54	human	mir769	-0.806
GLI2	human	mir769	-0.132
NCOA2	human	mir769	-0.01
SPATA3	human	mir769	-0.196
SLC4A8	human	mir769	-0.01
TMEM67	human	mir769	-0.011
ARHGAP19	human	mir769	-0.02
RELL1	human	mir769	-0.079
GPM6B	human	mir769	-0.341
RTTN	human	mir769	-0.067
ETV3L	human	mir769	-0.186
SLC6A6	human	mir769	-0.01
COG6	human	mir769	-0.153
FBXW8	human	mir769	-0.01
DEPDC1	human	mir769	-0.258
CAND2	human	mir769	-0.149
SUN1	human	mir769	-0.059
AC006455.1	human	mir769	-0.276
SCUBE2	human	mir769	-0.102
IKZF2	human	mir769	-0.114
TINAGL1	human	mir769	-0.13
SARM1	human	mir769	-0.299
MTTP	human	mir769	-0.168
PLS1	human	mir769	-0.219
ZBTB47	human	mir769	-0.01
SMTNL1	human	mir769	-0.323
LMOD2	human	mir769	-0.05
BAP1	human	mir769	-0.069
EIF2A	human	mir769	-0.037
MEF2BNB	human	mir769	-0.155
ADCY5	human	mir769	-0.088
NUPL1	human	mir769	-0.02
PFDN6	human	mir769	-0.07
MEF2D	human	mir769	-0.02
ANP32A	human	mir769	-0.127
CNIH4	human	mir769	-0.031
POU5F1B	human	mir769	-0.047
DNAJC24	human	mir769	-0.079
RWDD1	human	mir769	-0.029
B4GALT4	human	mir769	-0.08
CCDC74A	human	mir769	-0.156
ST3GAL6	human	mir769	-0.211
PPIA	human	mir769	-0.113
ZNF33A	human	mir769	-0.421
NDUFA5	human	mir769	-0.161
MFN1	human	mir769	-0.01
TCEAL4	human	mir769	-0.107
MYSM1	human	mir769	-0.02
C4orf36	human	mir769	-0.175
PHC3	human	mir769	-0.054
NCEH1	human	mir769	-0.178
ZNF273	human	mir769	-0.066
RAB43	human	mir769	-0.167
S100A14	human	mir769	-0.24
FAM162A	human	mir769	-0.073
RYBP	human	mir769	-0.068
FAM19A1	human	mir769	-0.252
ARTN	human	mir769	-0.264
ST20	human	mir769	-0.139
METTL2B	human	mir769	-0.277
GMPPB	human	mir769	-0.01
C6orf89	human	mir769	-0.089
CACNA1C	human	mir769	-0.077
KNCN	human	mir769	-0.08
TLE6	human	mir769	-0.572
SLC24A5	human	mir769	-0.127
ZNF789	human	mir769	-0.053
FBXL2	human	mir769	-0.102
EFCAB10	human	mir769	-0.142
RABGAP1L	human	mir769	-0.318
GPSM3	human	mir769	-0.224
RHNO1	human	mir769	-0.145
CEP41	human	mir769	-0.3
SLC15A2	human	mir769	-0.136
LSAMP	human	mir769	-0.117
FAM98B	human	mir769	-0.131
RBP1	human	mir769	-0.158
HERC4	human	mir769	-0.145
DUSP7	human	mir769	-0.06
C10orf11	human	mir769	-0.322
GMPS	human	mir769	-0.081
DHX36	human	mir769	-0.03
DTNB	human	mir769	-0.183
MFAP4	human	mir769	-0.414
COX17	human	mir769	-0.246
LCN10	human	mir769	-0.328
PPM1L	human	mir769	-0.02
L1TD1	human	mir769	-0.166
TFDP2	human	mir769	-0.03
ANAPC15	human	mir769	-0.109
CNBP	human	mir769	-0.067
C5orf20	human	mir769	-0.032
MFSD7	human	mir769	-0.139
SPCS3	human	mir769	-0.039
HMGXB3	human	mir769	-0.044
CCDC153	human	mir769	-0.449
LINC00923	human	mir769	-0.124
PCP4L1	human	mir769	-0.097
FBXL7	human	mir769	-0.366
ADAMTS12	human	mir769	-0.035
MRPL36	human	mir769	-0.032
DDX4	human	mir769	-0.175
LUC7L3	human	mir769	-0.057
SCLT1	human	mir769	-0.193
MRPS18B	human	mir769	-0.157
ZNF721	human	mir769	-0.093
C7orf73	human	mir769	-0.183
RIOK2	human	mir769	-0.239
ZFYVE28	human	mir769	-0.188
CHCHD6	human	mir769	-0.268
ELOVL7	human	mir769	-0.261
RAPGEF6	human	mir769	-0.132
PDCD6	human	mir769	-0.203
SH3RF2	human	mir769	-0.01
ZDHHC11	human	mir769	-0.1
HTN1	human	mir769	-0.354
ZNF154	human	mir769	-0.099
SLC34A1	human	mir769	-0.098
TTC39B	human	mir769	-0.055
MYO10	human	mir769	-0.01
FAM218A	human	mir769	-0.304
ZBTB38	human	mir769	-0.099
KIAA1430	human	mir769	-0.117
LHFPL2	human	mir769	-0.082
MCTP1	human	mir769	-0.189
TMEM108	human	mir769	-0.03
UBE2W	human	mir769	-0.194
NAIP	human	mir769	-0.092
HEPH	human	mir769	-0.05
OSGEPL1	human	mir769	-0.147
BRF2	human	mir769	-0.33
PIK3R1	human	mir769	-0.02
TMEM200B	human	mir769	-0.179
RNF217	human	mir769	-0.01
UTP14C	human	mir769	-0.041
KCNMB1	human	mir769	-0.469
TRNP1	human	mir769	-0.072
PNMA2	human	mir769	-0.159
PTK2	human	mir769	-0.049
MRPL22	human	mir769	-0.168
RANBP17	human	mir769	-0.074
WDYHV1	human	mir769	-0.276
CA1	human	mir769	-0.418
GFRA2	human	mir769	-0.02
YPEL4	human	mir769	-0.156
SLC6A5	human	mir769	-0.043
GJB7	human	mir769	-0.378
EPPK1	human	mir769	-0.072
LGALS8	human	mir769	-0.02
ST5	human	mir769	-0.098
CACNA1E	human	mir769	-0.02
PBOV1	human	mir769	-0.087
FLI1	human	mir769	-0.181
PKD1L2	human	mir769	-0.116
FXYD2	human	mir769	-0.267
C11orf54	human	mir769	-0.01
KIAA1456	human	mir769	-0.158
ZNF195	human	mir769	-0.22
GYLTL1B	human	mir769	-0.332
GRAMD1B	human	mir769	-0.331
GALNT4	human	mir769	-0.127
HTN3	human	mir769	-0.373
KIAA0754	human	mir769	-0.038
GMDS	human	mir769	-0.199
RBM4B	human	mir769	-0.242
EIF3M	human	mir769	-0.022
NXF1	human	mir769	-0.02
SAMD3	human	mir769	-0.068
COLCA1	human	mir769	-0.081
RNPC3	human	mir769	-0.069
SLC22A18AS	human	mir769	-0.123
ACRV1	human	mir769	-0.133
CD59	human	mir769	-0.252
C11orf31	human	mir769	-0.181
KMT2A	human	mir769	-0.02
NDUFS3	human	mir769	-0.153
C3orf33	human	mir769	-0.093
AURKB	human	mir769	-0.32
AC135178.1	human	mir769	-0.073
MMP17	human	mir769	-0.02
AC016586.1	human	mir769	-0.11
MANSC1	human	mir769	-0.068
CCDC171	human	mir769	-0.114
CDKL3	human	mir769	-0.196
ANAPC5	human	mir769	-0.155
VTN	human	mir769	-0.173
FAR2	human	mir769	-0.131
TMPRSS5	human	mir769	-0.223
CDH7	human	mir769	-0.052
IQCC	human	mir769	-0.146
ACOT13	human	mir769	-0.412
KCNH8	human	mir769	-0.297
OR2W3	human	mir769	-0.088
TIFAB	human	mir769	-0.02
TSPAN9	human	mir769	-0.02
PLEKHA1	human	mir769	-0.19
LINC00346	human	mir769	-0.035
ABCC4	human	mir769	-0.221
LAMTOR1	human	mir769	-0.187
GRM4	human	mir769	-0.03
CCDC66	human	mir769	-0.087
SLC18B1	human	mir769	-0.588
AC010536.1	human	mir769	-0.278
BRI3	human	mir769	-0.372
ISCU	human	mir769	-0.21
ANKLE2	human	mir769	-0.039
FETUB	human	mir769	-0.22
BNIP3	human	mir769	-0.076
POLDIP2	human	mir769	-0.094
GSTM3	human	mir769	-0.253
BX088651.1	human	mir769	-0.146
PRAMEF19	human	mir769	-0.166
FAM65B	human	mir769	-0.055
EFCAB5	human	mir769	-0.424
MPHOSPH9	human	mir769	-0.024
PODXL	human	mir769	-0.061
SCARB1	human	mir769	-0.181
EPN3	human	mir769	-0.382
CKAP2L	human	mir769	-0.107
SMLR1	human	mir769	-0.238
CELF5	human	mir769	-0.098
RASA4B	human	mir769	-0.121
PREPL	human	mir769	-0.109
CLEC18C	human	mir769	-0.478
CLEC4C	human	mir769	-0.046
ASXL1	human	mir769	-0.294
FAM186A	human	mir769	-0.195
GALNT6	human	mir769	-0.252
MYCBP2	human	mir769	-0.01
TMEM72	human	mir769	-0.312
ZNRF3	human	mir769	-0.128
MARCH10	human	mir769	-0.216
C12orf66	human	mir769	-0.179
IFI44	human	mir769	-0.183
RBM19	human	mir769	-0.067
ATXN3	human	mir769	-0.01
DHRS4L2	human	mir769	-0.179
SMAD5	human	mir769	-0.027
AK4	human	mir769	-0.03
DNAJB5	human	mir769	-0.113
MRPL42	human	mir769	-0.471
DDIT3	human	mir769	-0.721
C12orf76	human	mir769	-0.204
CCDC41	human	mir769	-0.105
ZNF878	human	mir769	-0.06
ACSS3	human	mir769	-0.02
CHST11	human	mir769	-0.19
C12orf77	human	mir769	-0.221
KRT18	human	mir769	-0.232
TBC1D15	human	mir769	-0.173
ASPG	human	mir769	-0.055
SPIC	human	mir769	-0.026
DCN	human	mir769	-0.141
POTEM	human	mir769	-0.03
GATC	human	mir769	-0.077
AL021546.6	human	mir769	-0.071
PRR24	human	mir769	-0.073
LIN7A	human	mir769	-0.12
FKBP11	human	mir769	-0.223
BEST2	human	mir769	-0.209
SPATS2	human	mir769	-0.06
DCAF4	human	mir769	-0.117
ALDH6A1	human	mir769	-0.03
HECTD1	human	mir769	-0.096
LYRM5	human	mir769	-0.918
ASB2	human	mir769	-0.086
YAF2	human	mir769	-0.042
AHSA1	human	mir769	-0.185
PGF	human	mir769	-0.052
RGMA	human	mir769	-0.032
NAA30	human	mir769	-0.01
TTLL5	human	mir769	-0.078
PITX2	human	mir769	-0.242
FPGT	human	mir769	-0.315
AKAP6	human	mir769	-0.018
ZEB2	human	mir769	-0.09
RASGRF1	human	mir769	-0.165
TLE3	human	mir769	-0.06
PEX11A	human	mir769	-0.575
EIF2AK4	human	mir769	-0.121
FBN1	human	mir769	-0.075
IREB2	human	mir769	-0.126
TRPM7	human	mir769	-0.01
CERS2	human	mir769	-0.098
XKR7	human	mir769	-0.02
CENPT	human	mir769	-0.251
MT1X	human	mir769	-0.41
SZT2	human	mir769	-0.02
MTMR10	human	mir769	-0.126
ZNF771	human	mir769	-0.179
STOML1	human	mir769	-0.01
OSGIN1	human	mir769	-0.638
MARVELD3	human	mir769	-0.072
SLC7A5	human	mir769	-0.117
KIAA0513	human	mir769	-0.02
LCMT2	human	mir769	-0.142
CDH13	human	mir769	-0.208
PDPR	human	mir769	-0.03
ATP6V0C	human	mir769	-0.171
RPGRIP1L	human	mir769	-0.075
PHLPP2	human	mir769	-0.02
C17orf97	human	mir769	-0.251
TRPV3	human	mir769	-0.269
NOVA1	human	mir769	-0.562
SCIMP	human	mir769	-0.274
AC027763.2	human	mir769	-0.533
PELP1	human	mir769	-0.041
HOXB1	human	mir769	-0.148
C17orf75	human	mir769	-0.115
DYM	human	mir769	-0.25
RASD1	human	mir769	-0.179
SLC16A3	human	mir769	-0.01
TMEM200C	human	mir769	-0.067
TOM1L2	human	mir769	-0.084
CASKIN2	human	mir769	-0.328
FAM222B	human	mir769	-0.026
TLK2	human	mir769	-0.038
SAP30BP	human	mir769	-0.138
DNAH17	human	mir769	-0.01
RASGRP4	human	mir769	-0.139
ZNF568	human	mir769	-0.149
ZNF556	human	mir769	-0.035
SMIM22	human	mir769	-0.191
ELOF1	human	mir769	-0.049
NLE1	human	mir769	-0.205
SPRED3	human	mir769	-0.031
DPY19L3	human	mir769	-0.109
TPGS2	human	mir769	-0.019
NLRP4	human	mir769	-0.084
ZNF793	human	mir769	-0.064
FAM215A	human	mir769	-0.213
AC139100.2	human	mir769	-0.265
ZNF461	human	mir769	-0.282
LRFN3	human	mir769	-0.116
LYPD8	human	mir769	-0.337
PTPRS	human	mir769	-0.044
USP36	human	mir769	-0.299
TUBB6	human	mir769	-0.153
ZNF101	human	mir769	-0.01
FAM20A	human	mir769	-0.065
NDUFA11	human	mir769	-0.031
FOSB	human	mir769	-0.033
C19orf82	human	mir769	-0.232
ZNF444	human	mir769	-0.377
ZNF730	human	mir769	-0.106
DYRK1B	human	mir769	-0.053
ZNF43	human	mir769	-0.067
FPR1	human	mir769	-0.09
DKFZP779L1853	human	mir769	-0.274
ZNF430	human	mir769	-0.059
FLT3LG	human	mir769	-0.157
ZNF114	human	mir769	-0.164
SLC35E1	human	mir769	-0.036
KLK13	human	mir769	-0.198
ZNF99	human	mir769	-0.102
ZNF836	human	mir769	-0.093
FKBP8	human	mir769	-0.05
AC132872.2	human	mir769	-0.081
PCP2	human	mir769	-0.286
AC026310.1	human	mir769	-0.299
SH3BP1	human	mir769	-0.082
DTNA	human	mir769	-0.244
ALKBH7	human	mir769	-0.324
CHMP2A	human	mir769	-0.392
SMG9	human	mir769	-0.184
AC002451.1	human	mir769	-0.327
SPHK2	human	mir769	-0.216
AC007461.1	human	mir769	-0.25
TP53AIP1	human	mir769	-0.131
DNAJC3	human	mir769	-0.113
MINOS1	human	mir769	-0.204
OXNAD1	human	mir769	-0.288
SNX5	human	mir769	-0.01
NUDT3	human	mir769	-0.02
HEBP2	human	mir769	-0.065
GPR123	human	mir769	-0.03
CCDC116	human	mir769	-0.347
ZBTB25	human	mir769	-0.115
YJEFN3	human	mir769	-0.195
NRSN2	human	mir769	-0.211
PPM1K	human	mir769	-0.217
PTBP2	human	mir769	-0.02
ZBTB8B	human	mir769	-0.02
CYP26B1	human	mir769	-0.07
GPRC5A	human	mir769	-0.0
COX15	human	mir769	-0.03
SLC45A4	human	mir769	-0.01
PSMA4	human	mir769	-0.0
MRPS10	human	mir769	-0.01
KIAA2022	human	mir769	-0.11
FAM168A	human	mir769	-0.09
MRPS35	human	mir769	-0.47
DERL2	human	mir769	-0.34
EPHA8	human	mir769	-0.08
STK10	human	mir769	-0.02
SEMA5B	human	mir769	-0.25
ZNF8	human	mir769	-0.0
PPP1R15A	human	mir769	-0.0
TFAP4	human	mir769	-0.34
MAPK13	human	mir769	-0.04
PSMD8	human	mir769	-0.07
OSM	human	mir769	-0.23
SNRPD3	human	mir769	-0.01
MAPK1	human	mir769	-0.14
TCN2	human	mir769	-0.08
CENPM	human	mir769	-0.1
JOSD1	human	mir769	-0.16
TAB1	human	mir769	-0.29
PHF5A	human	mir769	-0.01
CDKL1	human	mir769	-0.69
GNPNAT1	human	mir769	-0.08
SPTLC2	human	mir769	-0.06
MTHFD1	human	mir769	-0.0
UBOX5	human	mir769	-0.02
RNF125	human	mir769	-0.07
WDR13	human	mir769	-0.0
ORC6	human	mir769	-0.0
CCL22	human	mir769	-0.17
PLA2G15	human	mir769	-0.06
MEFV	human	mir769	-0.05
BCKDK	human	mir769	-0.18
AQP9	human	mir769	-0.33
EHD4	human	mir769	-0.1
OIP5	human	mir769	-0.01
BLOC1S6	human	mir769	-0.51
RAB3D	human	mir769	-0.36
H2AFV	human	mir769	-0.17
HOXA13	human	mir769	-0.04
RBM28	human	mir769	-0.0
YAE1D1	human	mir769	-0.0
ZNF688	human	mir769	-0.01
CCSER2	human	mir769	-0.03
NSF	human	mir769	-0.14
HLF	human	mir769	-0.07
APOC3	human	mir769	-0.0
DDX11	human	mir769	-0.49
KITLG	human	mir769	-0.15
MLEC	human	mir769	-0.1
RAB35	human	mir769	-0.34
RSPH4A	human	mir769	-0.45
MAPK14	human	mir769	-0.0
HLA	human	mir769	-0.03
GPR63	human	mir769	-0.17
GPR126	human	mir769	-0.1
LAMA4	human	mir769	-0.0
DAP	human	mir769	-0.0
GRM6	human	mir769	-0.26
BTNL8	human	mir769	-0.54
UMPS	human	mir769	-0.02
NEK4	human	mir769	-0.01
EIF2AK2	human	mir769	-0.09
NDUFS1	human	mir769	-0.02
TTC31	human	mir769	-0.54
PLEKHA3	human	mir769	-0.0
TCEANC2	human	mir769	-0.06
SLC35D1	human	mir769	-0.01
PRDM2	human	mir769	-0.09
NT5C1A	human	mir769	-0.03
AKR7A2	human	mir769	-0.0
LEPRE1	human	mir769	-0.0
SLC8A2	human	mir769	-0.19
TCF21	human	mir769	-0.23
MED28	human	mir769	-0.0
SOGA1	human	mir769	-0.02
ABCG2	human	mir769	-0.0
FKBP15	human	mir769	-0.02
PAPOLG	human	mir769	-0.12
CCDC170	human	mir769	-0.27
MSANTD2	human	mir769	-0.02
CCDC77	human	mir769	-0.02
FAM53C	human	mir769	-0.08
FZD3	human	mir769	-0.06
KALRN	human	mir769	-0.04
ZC3HAV1	human	mir769	-0.14
RNF11	human	mir769	-0.22
RIF1	human	mir769	-0.0
HAUS3	human	mir769	-0.08
SSR1	human	mir769	-0.0
EREG	human	mir769	-0.5
C3	human	mir769	-0.0
DSTN	human	mir769	-0.2
NCLN	human	mir769	-0.1
CAPNS1	human	mir769	-0.0
COX6B1	human	mir769	-0.0
KRT35	human	mir769	-1.07
ELK1	human	mir769	-0.08
CYP4F11	human	mir769	-0.44
KLF2	human	mir769	-0.0
GFER	human	mir769	-0.02
VIL1	human	mir769	-0.17
LIF	human	mir769	-0.13
PIAS1	human	mir769	-0.03
ANGEL1	human	mir769	-0.06
SEC14L5	human	mir769	-0.06
SCML2	human	mir769	-0.05
DGCR14	human	mir769	-0.0
TOMM40	human	mir769	-0.01
LSM14B	human	mir769	-0.38
FIBCD1	human	mir769	-0.33
LRP3	human	mir769	-0.01
GRWD1	human	mir769	-0.14
MRPS25	human	mir769	-0.06
G6PC	human	mir769	-0.06
KRTAP9	human	mir769	-0.97
PRKAB2	human	mir769	-0.23
FUS	human	mir769	-0.0
THAP1	human	mir769	-0.01
NUP210	human	mir769	-0.08
GRSF1	human	mir769	-0.0
H3F3B	human	mir769	-0.33
PDE6A	human	mir769	-0.11
SCO1	human	mir769	-0.0
IMPA1	human	mir769	-0.0
CCDC59	human	mir769	-0.0
EIF2S1	human	mir769	-0.01
TRIM45	human	mir769	-0.03
LPIN1	human	mir769	-0.19
FST	human	mir769	-0.32
FAM127A	human	mir769	-0.0
FADS2	human	mir769	-0.23
EHF	human	mir769	-0.4
TFCP2	human	mir769	-0.01
KCNMB4	human	mir769	-0.05
SLC19A3	human	mir769	-0.29
TMEM127	human	mir769	-0.1
USP44	human	mir769	-0.39
NUPL2	human	mir769	-0.0
HUS1	human	mir769	-0.11
ACSBG1	human	mir769	-0.03
SRSF1	human	mir769	-0.35
KAT7	human	mir769	-0.03
PDCL	human	mir769	-0.16
GMPR	human	mir769	-0.01
IER3	human	mir769	-0.4
TTPA	human	mir769	-0.32
DCUN1D5	human	mir769	-0.0
NUSAP1	human	mir769	-0.24
RPLP1	human	mir769	-0.03
KIAA1598	human	mir769	-0.1
WDR12	human	mir769	-0.05
HAL	human	mir769	-0.05
FAM189A1	human	mir769	-0.04
LIPG	human	mir769	-0.0
ZNF24	human	mir769	-0.03
CLEC2D	human	mir769	-0.14
DGKH	human	mir769	-0.02
NARG2	human	mir769	-0.19
GPATCH2L	human	mir769	-0.06
BTBD1	human	mir769	-0.01
MESDC2	human	mir769	-0.08
CDH1	human	mir769	-0.17
ARFGEF1	human	mir769	-0.14
YY1	human	mir769	-0.05
ZNF175	human	mir769	-0.26
LIG3	human	mir769	-0.04
IL12RB2	human	mir769	-0.26
MGRN1	human	mir769	-0.09
GLP2R	human	mir769	-0.12
GINS1	human	mir769	-0.28
GNAO1	human	mir769	-0.02
RAB2A	human	mir769	-0.0
TTC39A	human	mir769	-0.04
MARK4	human	mir769	-0.4
ZNF225	human	mir769	-0.39
TCF3	human	mir769	-0.1
CSE1L	human	mir769	-0.0
EEF2K	human	mir769	-0.1
ZNF264	human	mir769	-0.03
A1BG	human	mir769	-0.03
PPM1F	human	mir769	-0.2
EHD2	human	mir769	-0.06
TAF1B	human	mir769	-0.06
EPB41L5	human	mir769	-0.12
RETSAT	human	mir769	-0.56
CHMP3	human	mir769	-0.05
POLR1A	human	mir769	-0.01
STRN	human	mir769	-0.01
CDH3	human	mir769	-0.1
FARP2	human	mir769	-0.27
DNAJC10	human	mir769	-0.0
CAPZB	human	mir769	-0.0
RPL31	human	mir769	-0.0
TXK	human	mir769	-0.0
YWHAE	human	mir769	-0.49
C2orf83	human	mir769	-0.24
ADD2	human	mir769	-0.11
PCYOX1	human	mir769	-0.12
ZNF638	human	mir769	-0.01
ASB1	human	mir769	-0.1
STAT3	human	mir769	-0.07
PRDM5	human	mir769	-0.25
ARSB	human	mir769	-0.01
SDHA	human	mir769	-0.05
LMAN2L	human	mir769	-0.0
SLC10A7	human	mir769	-1.17
UBA5	human	mir769	-0.01
FAM184B	human	mir769	-0.56
DGKG	human	mir769	-0.2
SSR3	human	mir769	-0.17
KIAA1257	human	mir769	-0.16
STC2	human	mir769	-0.06
FSTL4	human	mir769	-0.04
TFEC	human	mir769	-0.38
POLA2	human	mir769	-0.0
PON3	human	mir769	-0.01
RBM48	human	mir769	-0.03
SFRP5	human	mir769	-0.21
BCL2L14	human	mir769	-0.3
LLPH	human	mir769	-0.0
BEST3	human	mir769	-1.02
N4BP2L2	human	mir769	-0.05
VPS33A	human	mir769	-0.12
SRRM4	human	mir769	-0.22
NOP9	human	mir769	-0.06
STON2	human	mir769	-0.2
GPR65	human	mir769	-0.0
RAD51	human	mir769	-0.0
DISP2	human	mir769	-0.15
IGF1R	human	mir769	-0.09
MYLK4	human	mir769	-0.11
NKD1	human	mir769	-0.06
SSH2	human	mir769	-0.09
IMPA2	human	mir769	-0.01
ESCO1	human	mir769	-0.14
TP53	human	mir769	-0.79
MBD1	human	mir769	-0.54
PMAIP1	human	mir769	-0.41
MED16	human	mir769	-0.0
ZNF544	human	mir769	-0.31
FEM1A	human	mir769	-0.16
ZFP14	human	mir769	-0.11
SFT2D2	human	mir769	-0.02
ILDR2	human	mir769	-0.09
ENSA	human	mir769	-0.25
C1orf35	human	mir769	-0.0
TPRKB	human	mir769	-0.01
SFXN5	human	mir769	-0.16
RNF7	human	mir769	-0.11
STXBP5L	human	mir769	-0.15
OCIAD2	human	mir769	-0.0
SETD7	human	mir769	-0.33
RPL37	human	mir769	-0.32
